symbol,symbol_ns,company_name,sector,industry,series,isin,source
INTELLECT,INTELLECT.NS,Intellect Design Arena Ltd.,Information Technology,Information Technology,EQ,INE306R01017,nse_nifty500
INDIGO,INDIGO.NS,InterGlobe Aviation Ltd.,Services,Services,EQ,INE646L01027,nse_nifty500
IGIL,IGIL.NS,International Gemological Institute Ltd.,Services,Services,EQ,INE0Q9301021,nse_nifty500
IKS,IKS.NS,Inventurus Knowledge Solutions Ltd.,Information Technology,Information Technology,EQ,INE115Q01022,nse_nifty500
IPCALAB,IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare,Healthcare,EQ,INE571A01038,nse_nifty500
JBCHEPHARM,JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,EQ,INE572A01036,nse_nifty500
JKCEMENT,JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials,Construction Materials,EQ,INE823G01014,nse_nifty500
JBMA,JBMA.NS,JBM Auto Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE927D01051,nse_nifty500
JKTYRE,JKTYRE.NS,JK Tyre & Industries Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE573A01042,nse_nifty500
JMFINANCIL,JMFINANCIL.NS,JM Financial Ltd.,Financial Services,Financial Services,EQ,INE780C01023,nse_nifty500
JSWCEMENT,JSWCEMENT.NS,JSW Cement Ltd.,Construction Materials,Construction Materials,EQ,INE718I01012,nse_nifty500
JSWDULUX,JSWDULUX.NS,JSW Dulux Ltd.,Consumer Durables,Consumer Durables,EQ,INE133A01011,nse_nifty500
JSWENERGY,JSWENERGY.NS,JSW Energy Ltd.,Power,Power,EQ,INE121E01018,nse_nifty500
JSWINFRA,JSWINFRA.NS,JSW Infrastructure Ltd.,Services,Services,EQ,INE880J01026,nse_nifty500
JSWSTEEL,JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining,Metals & Mining,EQ,INE019A01038,nse_nifty500
JAINREC,JAINREC.NS,Jain Resource Recycling Ltd.,Metals & Mining,Metals & Mining,EQ,INE0YD401026,nse_nifty500
JPPOWER,JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power,Power,EQ,INE351F01018,nse_nifty500
J&KBANK,J&KBANK.NS,Jammu & Kashmir Bank Ltd.,Financial Services,Financial Services,EQ,INE168A01041,nse_nifty500
JINDALSAW,JINDALSAW.NS,Jindal Saw Ltd.,Capital Goods,Capital Goods,EQ,INE324A01032,nse_nifty500
JSL,JSL.NS,Jindal Stainless Ltd.,Metals & Mining,Metals & Mining,EQ,INE220G01021,nse_nifty500
JINDALSTEL,JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining,Metals & Mining,EQ,INE749A01030,nse_nifty500
JIOFIN,JIOFIN.NS,Jio Financial Services Ltd.,Financial Services,Financial Services,EQ,INE758E01017,nse_nifty500
JUBLFOOD,JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services,Consumer Services,EQ,INE797F01020,nse_nifty500
JUBLINGREA,JUBLINGREA.NS,Jubilant Ingrevia Ltd.,Chemicals,Chemicals,EQ,INE0BY001018,nse_nifty500
JUBLPHARMA,JUBLPHARMA.NS,Jubilant Pharmova Ltd.,Healthcare,Healthcare,EQ,INE700A01033,nse_nifty500
JWL,JWL.NS,Jupiter Wagons Ltd.,Capital Goods,Capital Goods,EQ,INE209L01016,nse_nifty500
JYOTICNC,JYOTICNC.NS,Jyoti CNC Automation Ltd.,Capital Goods,Capital Goods,EQ,INE980O01024,nse_nifty500
KPRMILL,KPRMILL.NS,K.P.R. Mill Ltd.,Textiles,Textiles,EQ,INE930H01031,nse_nifty500
KEI,KEI.NS,KEI Industries Ltd.,Capital Goods,Capital Goods,EQ,INE878B01027,nse_nifty500
KPITTECH,KPITTECH.NS,KPIT Technologies Ltd.,Information Technology,Information Technology,EQ,INE04I401011,nse_nifty500
KAJARIACER,KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables,Consumer Durables,EQ,INE217B01036,nse_nifty500
KPIL,KPIL.NS,Kalpataru Projects International Ltd.,Construction,Construction,EQ,INE220B01022,nse_nifty500
KALYANKJIL,KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables,Consumer Durables,EQ,INE303R01014,nse_nifty500
KARURVYSYA,KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services,Financial Services,EQ,INE036D01028,nse_nifty500
KAYNES,KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods,Capital Goods,EQ,INE918Z01012,nse_nifty500
KEC,KEC.NS,Kec International Ltd.,Construction,Construction,EQ,INE389H01022,nse_nifty500
KFINTECH,KFINTECH.NS,Kfin Technologies Ltd.,Financial Services,Financial Services,EQ,INE138Y01010,nse_nifty500
KIRLOSENG,KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods,Capital Goods,EQ,INE146L01010,nse_nifty500
KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,Financial Services,EQ,INE237A01036,nse_nifty500
KIMS,KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare,Healthcare,EQ,INE967H01025,nse_nifty500
LTF,LTF.NS,L&T Finance Ltd.,Financial Services,Financial Services,EQ,INE498L01015,nse_nifty500
LTTS,LTTS.NS,L&T Technology Services Ltd.,Information Technology,Information Technology,EQ,INE010V01017,nse_nifty500
LGEINDIA,LGEINDIA.NS,LG Electronics India Ltd.,Consumer Durables,Consumer Durables,EQ,INE324D01010,nse_nifty500
LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,Financial Services,EQ,INE115A01026,nse_nifty500
LTFOODS,LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE818H01020,nse_nifty500
LTM,LTM.NS,LTM Ltd.,Information Technology,Information Technology,EQ,INE214T01019,nse_nifty500
LT,LT.NS,Larsen & Toubro Ltd.,Construction,Construction,EQ,INE018A01030,nse_nifty500
LATENTVIEW,LATENTVIEW.NS,Latent View Analytics Ltd.,Information Technology,Information Technology,EQ,INE0I7C01011,nse_nifty500
LAURUSLABS,LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare,Healthcare,EQ,INE947Q01028,nse_nifty500
THELEELA,THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,Consumer Services,EQ,INE0AQ201015,nse_nifty500
LEMONTREE,LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services,Consumer Services,EQ,INE970X01018,nse_nifty500
LENSKART,LENSKART.NS,Lenskart Solutions Ltd.,Consumer Services,Consumer Services,EQ,INE956O01016,nse_nifty500
LICI,LICI.NS,Life Insurance Corporation of India,Financial Services,Financial Services,EQ,INE0J1Y01017,nse_nifty500
LINDEINDIA,LINDEINDIA.NS,Linde India Ltd.,Chemicals,Chemicals,EQ,INE473A01011,nse_nifty500
LLOYDSME,LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Metals & Mining,Metals & Mining,EQ,INE281B01032,nse_nifty500
LODHA,LODHA.NS,Lodha Developers Ltd.,Realty,Realty,EQ,INE670K01029,nse_nifty500
LUPIN,LUPIN.NS,Lupin Ltd.,Healthcare,Healthcare,EQ,INE326A01037,nse_nifty500
MMTC,MMTC.NS,MMTC Ltd.,Services,Services,EQ,INE123F01029,nse_nifty500
MRF,MRF.NS,MRF Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE883A01011,nse_nifty500
MGL,MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ,INE002S01010,nse_nifty500
M&MFIN,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,Financial Services,EQ,INE774D01024,nse_nifty500
M&M,M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components,Automobile and Auto Components,EQ,INE101A01026,nse_nifty500
MANAPPURAM,MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services,Financial Services,EQ,INE522D01027,nse_nifty500
MRPL,MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ,INE103A01014,nse_nifty500
